name	offset	segment
_btntop	0x00066358	1
_bubbling	0x00065c1c	1
_button_to_mode	0x0006346c	1
_cBmap_blk	0x0006c0a8	1
_cBmsSeg	0x0008a43a	1
_cButton	0x00068798	1
_cDbase	0x0006c0a0	1
_cDbbase	0x0006c0b4	1
_cDbgRef	0x0006388e	1
_cEntryStrt	0x0006c0a4	1
_cExitMessage	0x000687ac	1
_cGrsOff	0x00068a23	1
_cJoyInit	0x0006879c	1
_cLightTabs	0x0006c0ac	1
_cNibOff	0x00068a04	1
_cNibXlate	0x0006c0b0	1
_cObjTab	0x00069a23	1
_cPerror	0x000687a8	1
_cPixXferStuff	0x0006c0b8	1
_cPlayer	0x0006c09c	1
_cStick	0x00068794	1
_cTmBm	0x0007ce28	1
_cTmDm	0x0007ced8	1
_cTmHg	0x0007ce94	1
_cTmSz	0x0007ceb0	1
_cVertex	0x00099c44	1
_cWCol	0x0007ce68	1
_cWindow	0x00077d4e	1
_cXfer	0x0006b774	1
_calledfrom3d	0x00066659	1
_camang	0x00081a50	1
_campos	0x0007cfe0	1
_centptr	0x0007cdcc	1
_change_state	0x00066060	1
_changed	0x0007ce60	1
_channel_punt	0x00063668	1
_channel_sem	0x00063669	1
_checkerboard1	0x0006b6b4	1
_chgtable	0x00065870	1
_chrbuf	0x0007bf14	1
_chroff	0x0007bf1c	1
_ciels	0x00066662	1
_cllbck_tst	0x0000dadc	1
_cmbModTH	0x000795b4	1
_cmpbuf1_start	0x0008b43a	1
_cmpbuf2_start	0x0009083a	1
_cnv_break	0x000665ff	1
_cnv_id	0x000665f8	1
_collobject	0x0007ce04	1
_color_to_map	0x00080a98	1
_color_to_obj	0x0007dc9a	1
_colours	0x0009904a	1
_combEfflen	0x00065b78	1
_cong_mes	0x000663e0	1
_constadr	0x0007cb64	1
_control	0x00081e54	1
_conv_buffer	0x000665f4	1
_copy_file_	0x0005104c	1
_copyf	0x000675e0	1
_count	0x0007c084	1
_cr_class	0x0007ce7c	1
_cr_title	0x0007defc	1
_cr_type	0x0007ce7e	1
_crit_fpage	0x0006a6a3	1
_crit_inpage	0x0006a6a7	1
_crit_nlpages	0x0006a6a5	1
_crit_terr	0x0007cea0	1
_critbot	0x0007cdb8	1
_critdata	0x0007cdb0	1
_crithit	0x000665fd	1
_crithittime	0x0007cde8	1
_criti	0x000795da	1
_critptr	0x0007cdd0	1
_crittop	0x0007cd74	1
_cst	0x0007cd58	1
_cstart_	0x00002760	1
_cstcom	0x0007cd9c	1
_curBin	0x00081e3f	1
_curP	0x0007ce10	1
_curZoom	0x0007ce5a	1
_cur_left_ind	0x00097712	1
_cur_light_level	0x00066682	1
_cur_right_ind	0x00097716	1
